profName,university,nbr citation,specialty
Adhiri Rahma,"Université Hassan II De Casablanca, Faculté des Sciences Ben M'Sick, LIMAT",Cited by 172
Abdelghani Errehymy,"Ph.D. in High Energy Physics, Hassan II University of Casablanca, Faculty of Sciences Aïn …",Cited by 167
Abdelaziz Boudlal,"Professor, Linguistics; Hassan II University in Casablanca",Cited by 164
SAIDA KRIMI,"Professeur de Chimie, Hassan II University of Casablanca",Cited by 159
Azeddine KHIAT,Laboratory SSDIA ENSET -  UNIVERSITE HASSAN II DE CASABLANCA,Cited by 158
Rhimou EL HAMOUMI,"Professeur d'Ecologie, Université Hassan II de Casablanca, Faculté des sciences de Ben M' …",Cited by 157
Mohamed Boudchiche,"Assistant Professor, Université Hassan II de Casablanca",Cited by 154
Abdelaziz Timesli,"Hassan II University of Casablanca, National Higher School of Arts and Crafts of …",Cited by 153
Mohamed HATTABI,"Professeur de Mécanique des Fluides, Université Hassan II Casablanca",Cited by 151
Nadia SAID,"Ph.D., Faculty of Medicine and Pharmacy of Casablanca, Hassan II University",Cited by 148
othman barim,Hassan II University Of Casa Blanca,Cited by 148
Omar EL BEGGAR,"Faculty of Sciences and Techniques of Mohammedia, University Hassan II of Casablanca",Cited by 147
Aissam OUTCHAKOUCHT,"Ph.D Student, Hassan II university",Cited by 147
Hamza ES-SAMAALI,PhD Student at Hassan II University,Cited by 140
Abir Zaidi,"Université Hassan II Casablanca, Faculté des Sciences et Techniques de Mohammedia",Cited by 138
Hicham Zerradi,University Hassan II Mohammedia,Cited by 136
YASSINE SAYOUTI,"Professeur Habilité Génie électrique, FSTM, Université Hassan II de Casablanca",Cited by 135
FATIMA EZZAHRA SALIH,University Hassan II of Casablanca,Cited by 135
Boulezhar Abdelkader,"Professor, Faculty of sciences Ain Chock, Physics, Hassan II University- Casablanca …",Cited by 133
salma trady,"… ere Condens?ee, Facult?e des Sciences Ben M'Sik, Hassan II University of Casablanca, BP …",Cited by 133
mohamed atibi,"Docteur , université hassan II casablanca",Cited by 128
mohamed boussaa,"Laboratory of information processing, Hassan II – Casablanca University Cdt Driss El Harti …",Cited by 128
Houriya Mestaghanmi,Faculté des Sciences Ben M'Sik. Université Hassan II de Casablanca MAROC. Laboratoire …,Cited by 128
Zakaria Kadiri,"Professor of sociology, Hassan II University of Casablanca",Cited by 127
Mounir RIFI,Professeur Université Hassan II Casablanca Maroc,Cited by 126
Larbi Oularbi,Sorbonne University - Paris 6 and Université Hassan II de Casablanca,Cited by 125
anass bakour,"PhD, University Hassan II Casablanca, Faculty of science and techniques Mohammedia",Cited by 119
Loubna EL HARRAD,Hassan II University of Casablanca,Cited by 117
Rochdi Abdellatif,"Professeur à la Faculté des Sciences Ben M'sik Casablanca, Université Hassan II",Cited by 116
Mehdi Maziane,"Ph.D, Professor and Researcher, Faculty of Sciences Ben M'sik, Hassan II University …",Cited by 110
El Mehdi Lotfi,"Researcher, Faculty of Sciences Ben M'sik, Hassan II University, Casablanca, Morocco.",Cited by 105
Nour-elhouda FAYOUD,"Doctor of Applied Chemistry and Environmental Engineering, Hassan II university",Cited by 105
Said AQDIM,"… ,Labratoire de chimie Minerale, Faculty of Sciences Ain Chock, Université Hassan II",Cited by 99
Azeddine Baalal,"Professor of Mathematics, University Hassan II of Casablanca, Faculty of Sciences Aïn …",Cited by 98
youssef safi,Hassan 2 University Casablanca,Cited by 97
Mohamed Chellouli,… of Chemistry Faculty of Sciences and Technologies Mohammedia-University Hassan II of,Cited by 97
chham az-iddin,"… of Engineering and Materials LIMAT, Faculty of Science Ben M'sik, University Hassan II de",Cited by 96
Ait El Fqih Mohammed,"Enseignant–chercheur, ENSAM - Casa, Université Hassan II",Cited by 95
Youssef NAIMI,"Université Hassan II de Casablanca, Faculté des sciences Ben M'sik",Cited by 94
Sophia Ait Errayess,Hassan II University of Casablanca,Cited by 94
Rachid Essamoud,University Hassan II of Casablanca,Cited by 94
Bouchra Marzak,Hassan II University casablanca,Cited by 93
soumia belouafa,Professeur de Chimie à la Faculté des Sciences Ben M'Sik. Université Hassan II de …,Cited by 93
Miloud Elbasri,Hassan II University of Casablanca,Cited by 90
Mohamed EL HAFIDI,"… of magnetism and quantum physics, Hassan II University of Casablanca, Condensed Matter",Cited by 90
Fadma AIT MOUS,"Professeur de sociologie, Hassan II University of Casablanca",Cited by 90
nadia boutaleb,Hassan 2 university of Casablanca,Cited by 88
Mohammed El Mahi CHBIHI,professeur université Hassan 2 casablanca,Cited by 87
Mohamed benchikhi,"Hassan II University of Casablanca, Morocco",Cited by 87
ammaih youssef,université hassan II casablanca,Cited by 87
Abdelali Elmoufidi,"… of Mathematics & Computer Science Faculty of sciences, Casablanca Hassan II University",Cited by 86
OMARI Lhaj El Hachemi,"LPMMAT, Faculty of Sciences, Hassan II University, Casablanca, Morocco",Cited by 82
Abdelkader MOUADILI,"… de Physique, Faculté des Sciences et Techniques, Mohammedia, Université Hassan 2 …",Cited by 80
Nawal Elhammoudi,"PhD , Université Hassan II-Casablanca",Cited by 80
Abdelilah Hassoune,"Hassan II University of Casablanca, ENSEM",Cited by 79
Mostafa Rafai,Faculté de Médecine et de Pharmacie / Université Hassan II de Casablanca,Cited by 79
Marouane Mahrouf,"Researcher, Faculty of Sciences Ben M'sik, Hassan II University, Casablanca, Morocco.",Cited by 78
Taouil Hamid,Université Hassan II Casablanca,Cited by 77
hassan ifassiouen,"Université Hassan II, Ecole Supérieure de Technologie",Cited by 76
benaissa kissi,"PROFESSEUR DE GÉNIE CIVIL , UNIVERSITÉ HASSAN II CASABLANCA",Cited by 76
Ayoub HASSINE,University Hassan II of Casablanca,Cited by 75
Bouzekri TOURI,Université Hassan II de Casablanca,Cited by 75
Pr. Abdelkbir Errougui,"Laboratoire de Chimie-Physique, Catalyse et Environnement - Université Hassan II …",Cited by 74
Hamid MELLOUK,"Professeur en génie des procédés industriels, université Hassan II Mohammedia",Cited by 72
Rachid Lajouad,Hassan II university - Mohammedia,Cited by 72
Boubker OUADIL,"PhD, Université Hassan 2 de Casablanca",Cited by 72
ragmani awatif,Université Hassan II de casablanca Maroc,Cited by 72
Meriyem Chergui,Hassan II Casablanca University,Cited by 70
Kamal EL GUEMMAT,Université Hassan II de Casablanca,Cited by 67
Abdelmajid Benbouziane,"Professor of Geology, Hassan II university of Casablanca, Faculty of science Ben M'sik",Cited by 67
ELRHARRAS Abdessamad,"Ecole Hassania des travaux publics  , Univ Hassan II faculté des sciences Ben M'sik",Cited by 63
yasser boussairi,Hassan II University Of Casablanca,Cited by 62
nabila rabbah,Professeur Université Hassan II Casablanca Maroc,Cited by 61
Prof. mohammed ridouani,Computer Sciences department in High School of Technology at the Hassan II University …,Cited by 60
Zineb Erregueragui,Hassan II University,Cited by 60
MERYEM AQLIL,"University Hassan II Casablanca (UH2C), Faculty of sciences and techniques of …",Cited by 59
Driss Benmessaoud Left,"Professeur de Chimie Physique, Université Hassan 2 de Casablanca - Faculté des Sciences …",Cited by 58
ABDELMAJID BOUSSELHAM,"Laboratory SSDIA, ENSET Mohammedia, University Hassan 2 Casablanca, Morocco",Cited by 58
Faiq GMIRA,"Professeur d'informatique, Université Hassan II - Casablanca",Cited by 55
Abdelali Hadir,"Hassan II University, Casablanca-Morocco",Cited by 54
Mustapha Lhous,"professor of mathematics, university Hassan II of casablanca",Cited by 54
Abdelhadi ENNAJIH,"ENSEM, Hassan II University of Casablanca, Morocco.",Cited by 54
Hamza Faraji,"… Laboratory, Physics departement, Faculty of Sciences Ain Chok, Hassan II University …",Cited by 53
Youssef Belaasilia,Université Hassan II de Casablanca,Cited by 53
HOUDA ORCHI,Hassan II University of Casablanca,Cited by 52
ghita yammouri,Hassan II University of Casablanca,Cited by 50
RIDA HAJJAJ,HASSAN II University of Casablanca,Cited by 50
AZIZ CHAMI,Hassan II University of Casablanca,Cited by 50
Adil CHERKAOUI,"FSJES Ain Chock, Université Hassan II Casablanca",Cited by 49
mohamed amine Talhaoui,hassan 2 university,Cited by 48
Amine Rafik. MD.PhD. FDAFPRAS,"University Hassan II, Casablanca, Morocco",Cited by 48
Laila Fetjah,Departement of mathematics and computer science Hassan II University,Cited by 47
Narjiss Seddaoui,"PhD student, Hassan II University of Casablanca",Cited by 47
Abdelmajid Bouziane,"Professor of Education, Hassan II University of Casabanca",Cited by 47
Abdellah BAKHOUYI,Hassan 2 University of Casablanca,Cited by 46
Abdelghani Ghanam,Hassan II University of Casablanca,Cited by 45
AOURIR Meriem,Université HASSAN II,Cited by 45
Abdelmajid Ibenrissoul,Professeur de l'Enseignement Supérieur en Gestion et Economie - Université Hassan II …,Cited by 43
Aminu Hassan Jakada,"Lecture II, Federal University Dutse",Cited by 43
Ismail El Haddioui,"Professeur d'informatique, Ecole Supérieure de Technologie, Université Hassan II …",Cited by 42
Amine El Bhih,Université Hassan II de Casablanca,Cited by 41
Nour-Eddine Fahssi,Professor (Hassan II University at Mohammedia),Cited by 40
Koubaa Salah,University Hassan II of Casablanca,Cited by 40
Abdelmoghit ZAARANE,University Hassan II of Casablanca,Cited by 40
SLIMANI Ibtissam,University Hassan II Casablanca,Cited by 40
Abdellah Hamdaoui,"Professeur de mécanique, Université Hassan II de Casablanca",Cited by 40
Naima KHLIL,Professeur de Biochimie à la faculté de Médecine et de Pharmacie- Université Hassan 2 de …,Cited by 40
Abdelhak YAACOUBI,"Professeur de Statistique, Université Hassan II",Cited by 40
Othman Benammar,"ingénieur en informatique, université Hassan II de casablanca",Cited by 38
HICHAM MAGRI,RITM LAB ESTC ENSEM UNIVERSITY HASSAN 2 CASABLANCA MOROCCO,Cited by 38
sara azmi,University Hassan II Casablanca,Cited by 38
mostafa jebbar,"PHD Student UNIVERSITY HASSAN II, CASABLANCA, MAROCCO",Cited by 37
Hafida Messaouri,Université Hassan II de Casablanca  FSTM,Cited by 37
M. Ider,"… Physique de la Matière Condensée (LPMC), University Hassan II of Casablanca, Morocco …",Cited by 36
elbouny lahcen,"PhD Student, University Hassan II  of  Casablanca",Cited by 36
CHOAB NOUREDDINE,"Laboratoire de Physique de l'Atmosphère, Matériaux et Modélisation, Université Hassan II …",Cited by 36
chaffoui,professeur université hassan II,Cited by 35
YOUSSEF HADDOUT,"PhD, University Hassan II, Casablanca, Morocco",Cited by 35
Abderrahmane AIT CHIHAB,Professeur Génie électrique FSAC université hassan 2,Cited by 35
Ebrahim Kerak,"… of Sciences and Techniques Mohammedia, Hassan II Casablanca University, PO Box 146 …",Cited by 35
Taoufik Said,"Faculty of Science Ben M'Sik Casablanca, Hassan II University",Cited by 35
Hicham Boudounit,"Dr,  University Hassan II",Cited by 34
Ayoub Loutfi,"Hassan II University-Faculty of Human Sciences Ben M'sik in Casablanca, Morocco",Cited by 34
Meriem BOUHBOU,University Hassan II Faculty of sciences,Cited by 34
H. Rachid,Hassan II University,Cited by 34
khyati abderrahim,"Ecole  normale Supérieure de , Université Hassan II, Casablanca",Cited by 33
Karim Bejjit,"Professor of English, Hassan II University",Cited by 33
Aziz OUKENNOU,"Advanced Control of Electrical Systems Team -LESE, ENSEM, Hassan II University …",Cited by 33
Mohammed NAHID,"… d'Electronique,Automatique et Traitement de l'Information à la FSTM Université Hassan II",Cited by 32
Khadija CHAFAI,"… et Thermique, Faculté des Sciences Aïn Chock, Université Hassan II, BP 5366 Mâarif …",Cited by 32
Loubna Benaaaouinate,"PhD student, ENSEM, Hassan II university",Cited by 31
bouchra bouihi,"PhD in computer science, Professor at University Hassan II",Cited by 31
Khadija Letrache,"Faculty of Sciences and Techniques of Mohammedia, University Hassan II, Casablanca",Cited by 30
Souad EL AMRANI,"Professeur de Biologie, Université Hassan II, Casablanca. Maroc",Cited by 30
Amine Dafir,"Professeur d'économie, Université Hassan II Casablanca",Cited by 29
Oumaima Hourrane,Hassan II University of Casablanca (UH2C),Cited by 29
soufiane zerraf,Hassan II university of Casablanca,Cited by 28
Yassine Khazri,hassan II University Casablanca,Cited by 27
